2026/6/9 12:08:31,佐藤 次郎,A6A00B75,76A00BB8,6,25,0,-41
2026/6/9 12:10:13,佐藤 次郎,A6A00B75,76A00BB8,6,26,4,-95
2026/6/9 12:10:34,鈴木 太郎,A6A00B16,76A00BB8,6,25,9,-84
2026/6/9 12:12:15,佐藤 次郎,A6A00B75,76A00BB8,6,26,3,-99
2026/6/9 12:14:18,佐藤 次郎,A6A00B75,76A00BB8,6,26,0,-98
2026/6/9 12:14:38,鈴木 太郎,A6A00B16,76A00BB8,6,24,0,-85
2026/6/9 12:16:40,鈴木 太郎,A6A00B16,76A00BB8,6,24,0,-87
2026/6/9 12:17:21,鈴木 太郎,A6A00B16,76A00BB8,6,24,4,-87
2026/6/9 12:18:22,佐藤 次郎,A6A00B75,76A00BB8,6,25,0,-82
2026/6/9 12:18:43,鈴木 太郎,A6A00B16,76A00BB8,6,25,0,-93
2026/6/9 12:20:45,鈴木 太郎,A6A00B16,76A00BB8,6,25,0,-97
2026/6/9 12:21:46,鈴木 太郎,A6A00B16,76A00BB8,6,25,4,-54
2026/6/9 12:22:27,佐藤 次郎,A6A00B75,76A00BB8,6,27,2,-37
2026/6/9 12:23:28,鈴木 太郎,A6A00B16,76A00BB8,6,25,1,-55
2026/6/9 12:24:29,佐藤 次郎,A6A00B75,76A00BB8,6,27,0,-37
2026/6/9 12:26:11,佐藤 次郎,A6A00B75,76A00BB8,6,27,0,-37
2026/6/9 12:26:32,鈴木 太郎,A6A00B16,76A00BB8,6,25,0,-55
